id,tstart,tend,value,noise
0,0,0,cmplx,0
0,0,4,,42.858
1,4,8,,42.777
2,8,12,,44.665
3,12,16,,43.19
4,16,20,,42.665
5,20,24,,43.053
6,24,28,,44.734
7,28,32,,44.66
8,32,36,,43.792
9,36,40,,45.563
10,40,44,,45.4
11,44,48,,46.371
12,48,52,,47.138
13,52,56,,46.894
14,56,60,,45.501
15,60,64,,44.802
16,64,68,,45.277
17,68,72,,44.496
18,72,76,,45.611
19,76,80,,44.507
20,80,84,,44.888
21,84,88,,44.806
22,88,92,,44.318
23,92,96,,46.128
24,96,100,,47.202
25,100,104,,48.955
26,104,108,,49.568
27,108,112,,51.126
28,112,116,,49.366
29,116,120,,51.883
30,120,124,,51.297
31,124,128,,53.659
32,128,132,,54.729
33,132,136,,55.835
34,136,140,,55.672
35,140,144,,56.173
36,144,148,,59.146
37,148,152,,56.636
38,152,156,,55.004
39,156,160,,54.867
40,160,164,,53.402
41,164,168,,53.414
42,168,172,,52.698
43,172,176,,52.958
44,176,180,,52.693
45,180,184,,52.193
46,184,188,,52.176
47,188,192,,52.403
48,192,196,,51.483
49,196,200,,52.675
50,200,204,,53.433
51,204,208,,53.237
52,208,212,,53.613
53,212,216,,53.334
54,216,220,,53.439
55,220,224,,52.886
56,224,228,,53.282
57,228,232,,53.02
58,232,236,,52.283
59,236,240,,52.341
60,240,244,,52.783
61,244,248,,52.53
62,248,252,,52.788
63,252,256,,52.273
64,256,260,,53.418
65,260,264,,54.494
66,264,268,,55.586
67,268,272,,55.67
68,272,276,,55.172
69,276,280,,54.831
70,280,284,,54.906
71,284,288,,53.946
72,288,292,,53.448
73,292,296,,53.918
74,296,300,,53.695
75,300,304,,54.473
76,304,308,,54.268
77,308,312,,55.604
78,312,316,,53.925
79,316,320,,52.398
80,320,324,,52.498
81,324,328,,52.939
82,328,332,,53.619
83,332,336,,53.056
84,336,340,,54.204
85,340,344,,52.682
86,344,348,,54.078
87,348,352,,52.712
88,352,356,,53.219
89,356,360,,54.539
90,360,364,,51.483
91,364,368,,50.61
92,368,372,,52.745
93,372,376,,54.655
94,376,380,,54.954
95,380,384,,57.627
96,384,388,,56.048
97,388,392,,56.291
98,392,396,,57.553
99,396,400,,56.391
100,400,404,,56.778
101,404,408,,56.297
102,408,412,,58.036
103,412,416,,56.011
