id,tstart,tend,value,noise
1,0,4,rtn,45.563
2,4,8,rtn,42.777
3,8,12,rtn+brak,44.665
4,12,16,rtn+horn+brak,43.19
5,16,20,rtn+motorc,42.665
6,20,24,rtn+motorc,43.053
7,24,28,rtn+horn+motorc,44.734
8,28,32,rtn,44.66
9,32,36,rtn,43.792
10,36,40,rtn+impls,45.563
11,40,44,rtn,45.4
12,44,48,rtn,46.371
13,48,52,rtn+motorc,47.138
14,52,56,rtn+motorc,46.894
15,56,60,rtn+impls+cdoor,45.501
16,60,64,rtn+brak,44.802
17,64,68,rtn+motorc,45.277
18,68,72,rtn+motorc,44.496
19,72,76,rtn+motorc,45.611
20,76,80,rtn+impls,44.507
21,80,84,rtn+impls+motorc,44.888
22,84,88,rtn+troll+motorc+impls,44.806
23,88,92,rtn+troll,44.318
24,92,96,rtn+troll,46.128
25,96,100,rtn+troll+peop,47.202
26,100,104,rtn+motorc+troll+peop,48.955
27,104,108,rtn+motorc,49.568
28,108,112,rtn+motorc,51.126
29,112,116,rtn+motorc,49.366
30,116,120,rtn+motorc+brak,51.883
31,120,124,rtn+cdoor,51.297
32,124,128,rtn+brak+impls,53.659
33,128,132,rtn,54.729
34,132,136,rtn,55.835
35,136,140,rtn+impls+motorc+beep,55.672
36,140,144,rtn+motorc,56.173
37,144,148,rtn+motorc,59.146
38,148,152,rtn+motorc,56.636
39,152,156,rtn+motorc,55.004
40,156,160,rtn+bell+motorc,54.867
41,160,164,rtn+motorc+cdoor,53.402
42,164,168,rtn+impls+motorc,53.414
43,168,172,rtn+impls+brak+cdoor,52.698
44,172,176,rtn+impls+brak,52.958
45,176,180,rtn+beep+impls,52.693
46,180,184,rtn,52.193
47,184,188,rtn+beep,52.176
48,188,192,rtn,52.403
49,192,196,rtn+brak+troll,51.483
50,196,200,rtn+motorc+brak,52.675
51,200,204,rtn+brak+motorc,53.433
52,204,208,rtn+motorc,53.237
53,208,212,rtn+motorc,53.613
54,212,216,rtn+motorc,53.334
55,216,220,rtn+motorc,53.439
56,220,224,rtn+brak+peop,52.886
57,224,228,rtn+brak+motorc,53.282
58,228,232,rtn+hdoor,53.02
59,232,236,rtn+horn,52.283
60,236,240,rtn+troll,52.341
61,240,244,rtn+motorc,52.783
62,244,248,rtn+brak,52.53
63,248,252,rtn+brak+motorc,52.788
64,252,256,rtn+motorc+impls+brak,52.273
65,256,260,rtn+motorc,53.418
66,260,264,rtn+motorc,54.494
67,264,268,rtn+brak+motorc,55.586
68,268,272,rtn+motorc,55.67
69,272,276,rtn+motorc,55.172
70,276,280,rtn+motorc,54.831
71,280,284,rtn+motorc+brak,54.906
72,284,288,rtn+brak+motorc,53.946
73,288,292,rtn+impls,53.448
74,292,296,rtn+impls,53.918
75,296,300,rtn+motorc,53.695
76,300,304,rtn+motorc,54.473
77,304,308,rtn+bike+peop,54.268
78,308,312,rtn,55.604
