id,tstart,tend,value,noise
1,0,4,rtn+impls,47.411
2,4,8,rtn+eng,44.896
3,8,12,rtn+impls,44.347
4,12,16,rtn+troll,43.351
5,16,20,rtn+motorc,43.623
6,20,24,rtn+impls+motorc,43.017
7,24,28,rtn+impls+brak+cdoor,45.09
8,28,32,rtn,45.166
9,32,36,rtn,45.835
10,36,40,rtn+motorc,54.036
11,40,44,rtn+motorc,52.478
12,44,48,rtn+brak,58.564
13,48,52,rtn+motorc,57.684
14,52,56,rtn+motorc,50.584
15,56,60,rtn+brak,49.722
16,60,64,rtn+brak+horn+impls,47.411
17,64,68,rtn+motorc+peop+brak,50.018
18,68,72,rtn+motorc,50.005
19,72,76,rtn+motorc,53.149
20,76,80,rtn+motorc+brak,52.984
21,80,84,rtn+motorc,53.93
22,84,88,rtn+motorc,48.45
23,88,92,rtn+motorc,53.151
24,92,96,rtn+motorc,50.988
25,96,100,rtn+motorc,50.829
26,100,104,rtn+motorc,51.778
27,104,108,rtn+brak,54.717
28,108,112,rtn+brak,54.573
29,112,116,rtn,56.224
30,116,120,rtn+troll,56.739
31,120,124,rtn+brak,58.311
32,124,128,rtn+motorc,62.42
33,128,132,rtn+motorc+impls,62.142
34,132,136,rtn+motorc,57.409
35,136,140,rtn+motorc,55.861
36,140,144,rtn,54.799
37,144,148,rtn,54.444
38,148,152,rtn+impls,54.572
39,152,156,rtn+motorc,51.963
40,156,160,rtn+impls+motorc,55.162
41,160,164,rtn+motorc+brak,55.095
42,164,168,rtn+motorc,54.605
43,168,172,rtn+brak+impls,60.108
44,172,176,rtn,60.811
45,176,180,rtn+horn,62.03
46,180,184,rtn+brak,66.52
47,184,188,rtn+motorc,65.062
48,188,192,rtn+motorc,66.464
49,192,196,rtn,63.08
50,196,200,rtn+motorc,60.617
51,200,204,rtn+motorc,58.85
52,204,208,rtn+motorc,58.119
53,208,212,rtn,61.519
54,212,216,rtn,58.186
55,216,220,rtn+cdoor,65.356
56,220,224,rtn+brak,68.811
57,224,228,rtn,65.134
58,228,232,rtn+motorc,64.51
59,232,236,rtn+motorc+cdoor,62.86
60,236,240,rtn,67.595
61,240,244,rtn,68.03
62,244,248,rtn,58.548
63,248,252,rtn+impls,59.023
64,252,256,rtn+peop,63.38
65,256,260,rtn+impls,62.464
66,260,264,rtn+motorc,61.673
67,264,268,rtn+motorc,61.372
68,268,272,rtn+impls+motorc,59.059
69,272,276,rtn,60.025
70,276,280,rtn+motorc,60.497
71,280,284,rtn+motorc,58.222
72,284,288,rtn+motorc,56.172
73,288,292,rtn+impls,58.783
74,292,296,rtn+impls,55.291
75,296,300,rtn+motorc+brak,56.777
76,300,304,rtn+motorc,55.833
77,304,308,rtn+motorc,54.107
78,308,312,rtn+brak,54.368
79,312,316,rtn+motorc,60.677
80,316,320,rtn,56.467
81,320,324,rtn+motorc,56.904
82,324,328,rtn+motorc,55.718
83,328,332,rtn+brak,55.621
84,332,336,rtn+brak,53.027
85,336,340,rtn+motorc,52.387
86,340,344,rtn+motorc,52.452
87,344,348,rtn+brak,51.378
88,348,352,rtn+impls,50.922
89,352,356,rtn,50.943
90,356,360,rtn,52.68
91,360,364,rtn+brak,51.356
92,364,368,rtn+eng,50.76
93,368,372,rtn+brak+eng,54.079
94,372,376,rtn+motorc,57.182
95,376,380,rtn+motorc,58.77
96,380,384,rtn+motorc,61.833
97,384,388,rtn,61.896
98,388,392,rtn+brak,64.097
99,392,396,rtn+brak,63.518
100,396,400,rtn+bird,61.642
101,400,404,rtn+motorc+bird,61.105
102,404,408,rtn+hdoor+motorc,57.273
103,408,412,cmplx,57.662
104,412,416,rtn+motorc+brak,56.184
105,416,420,rtn+motorc,54.072
106,420,424,rtn+motorc,53
107,424,428,rtn+peop+impls,56.059
108,428,432,rtn+peop,54.084
109,432,436,rtn+brak+peop,54.01
110,436,440,rtn+peop,54.455
111,440,444,rtn+peop,55.778
112,444,448,rtn+peop,58.813
113,448,452,rtn+peop,62.512
114,452,456,rtn+peop+impls,59.323
115,456,460,rtn+brak+peop,54.886
116,460,464,rtn+brak,54.813
117,464,468,rtn+brak,52.326
118,468,472,rtn+peop,54.065
119,472,476,rtn+peop,52.571
120,476,480,rtn+impls+peop,54.461
121,480,484,rtn+brak+peop,53.066
122,484,488,rtn+peop,52.315
123,488,492,rtn,52.871
124,492,496,rtn+eng,53.816
125,496,500,rtn+horn+peop,54.533
126,500,504,rtn+peop,53.832
127,504,508,rtn+bike,54.516
128,508,512,rtn,53.573
129,512,516,rtn,52.604
130,516,520,rtn+motorc,53.205
131,520,524,rtn+motorc,53.013
132,524,528,rtn+hdoor,53.44
133,528,532,rtn+impls,54.964
134,532,536,rtn,54.311
135,536,540,rtn+impls+peop,54.905
136,540,544,rtn+impls,56.363
137,544,548,rtn+eng+peop,55.107
138,548,552,rtn+motorc,53.666
139,552,556,rtn+eng+motorc,53.039
140,556,560,rtn+eng,52.054
141,560,564,rtn+eng,53.505
142,564,568,rtn+eng+motorc,55.226
143,568,572,rtn+eng+motorc,55.995
144,572,576,rtn+eng+brak,55.533
145,576,580,rtn+peop+eng,55.596
146,580,584,rtn+peop,56.899
147,584,588,rtn,55.325
148,588,592,rtn,58.588
149,592,596,rtn,57.396
150,596,600,rtn+brak,58.699
151,600,604,rtn+brak,58.701
152,604,608,rtn+motorc,57.436
153,608,612,rtn+motorc+brak,55.233
154,612,616,rtn+motorc,54.924
155,616,620,rtn+brak+motorc,54.513
156,620,624,rtn,53.868
157,624,628,rtn+peop+impls,53.621
158,628,632,rtn,53.135
159,632,636,rtn+peop+brak,54.293
160,636,640,rtn+eng,54.528
161,640,644,rtn+eng+bike,55.036
162,644,648,rtn+motorc+eng,54.085
163,648,652,rtn+eng+impls,55.719
164,652,656,rtn+motorc+eng,55.242
165,656,660,rtn+eng,56.16
166,660,664,rtn+eng+motorc,56.834
167,664,668,rtn+motorc+eng,58.471
168,668,672,rtn+eng+impls,58.483
169,672,676,rtn+eng+brak+impls,59.298
170,676,680,rtn+motorc+peop+eng,59.719
171,680,684,rtn+motorc,59.549
172,684,688,rtn+motorc,63.565
173,688,692,rtn+bell+motorc,58.583
174,692,696,rtn+bell,58.866
175,696,700,rtn+bell,59.256
